Tên API,Mô tả chức năng,Input,Output,Quy trình xử lý
"http://localhost:8000/api/muon_tra","📖 Quản lý Mượn/Trả - Quản lý mượn trả
Chức năng: Gọi controller MuontraController
Xử lý: Đọc từ QLTV.MUON_TRA.json","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID_muon_tra"": ""MT001"",
      ""ID_sach"": ""S001"",
      ""ID_nguoi_dung"": ""U001"",
      ""ngay_muon"": ""2024-01-15"",
      ""ngay_tra"": null,
      ""trang_thai"": ""Đang mượn""
    }
  ]
}","Bước 1: Request danh sách mượn trả
Bước 2: MuontraController đọc QLTV.MUON_TRA.json
Bước 3: Trả về tất cả records"
"http://localhost:8000/api/phieumuonsach","📖 Quản lý Mượn/Trả - Quản lý phiếu mượn
Chức năng: Gọi controller PhieumuonsachController
Xử lý: Đọc từ QLTV.PHIEUMUONSACH.json","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID_phieu"": ""PM001"",
      ""ID_nguoi_dung"": ""U001"",
      ""ngay_lap"": ""2024-01-15"",
      ""trang_thai"": ""Active""
    }
  ]
}","Bước 1: Request danh sách phiếu mượn
Bước 2: PhieumuonsachController đọc QLTV.PHIEUMUONSACH.json
Bước 3: Trả về tất cả phiếu mượn"
"http://localhost:8000/api/danhmuc","📊 Danh mục & Tác giả - Danh mục sách
Chức năng: Gọi controller DanhmucController để quản lý danh mục
Xử lý: Đọc từ QLTV.DANHMUC.json","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID"": ""DM001"",
      ""ten_danh_muc"": ""Văn học"",
      ""mo_ta"": ""Description""
    }
  ]
}","Bước 1: Request danh sách danh mục
Bước 2: DanhmucController đọc QLTV.DANHMUC.json
Bước 3: Trả về tất cả danh mục sách"
"http://localhost:8000/api/categories","📊 Danh mục & Tác giả - Lấy danh sách danh mục
Chức năng: Lấy tất cả danh mục từ QLTV.DANHMUC.json
Mục đích: Hiển thị dropdown trong form","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID"": ""DM001"",
      ""ten_danh_muc"": ""Văn học""
    }
  ]
}","Bước 1: Frontend cần dropdown danh mục
Bước 2: API đọc trực tiếp QLTV.DANHMUC.json
Bước 3: Trả về danh sách để hiển thị trong form"
"http://localhost:8000/api/tacgia","📊 Danh mục & Tác giả - Quản lý tác giả
Chức năng: Gọi controller TacgiaController
Xử lý: Đọc từ QLTV.TACGIA.json","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""ID"": ""TG001"",
      ""ten_tac_gia"": ""Nguyễn Nhật Ánh"",
      ""quoc_tich"": ""Việt Nam"",
      ""nam_sinh"": 1955
    }
  ]
}","Bước 1: Request danh sách tác giả
Bước 2: TacgiaController đọc QLTV.TACGIA.json
Bước 3: Trả về tất cả tác giả"
"http://localhost:8000/api/support","🆘 Hỗ trợ & Thông báo - Gửi yêu cầu hỗ trợ
Chức năng: Người dùng gửi ticket hỗ trợ với ảnh chụp màn hình
POST: Tạo ticket mới với ID tự động
GET: Lấy danh sách ticket","//Input
POST FormData: {
  ""title"": ""Issue Title"",
  ""details"": ""Description"",
  ""screenshot"": File
}
GET: (list tickets)","//Output
POST Response: {
  ""success"": true,
  ""message"": ""Đã gửi yêu cầu hỗ trợ"",
  ""id"": ""SUP123456""
}

GET Response: {
  ""success"": true,
  ""data"": [tickets array]
}","POST: Bước 1: User gặp vấn đề, điền form support với title, details, upload screenshot
Bước 2: Backend xử lý upload ảnh vào /images/support/
Bước 3: Tạo ticket mới với ID tự động (SUP + uniqid)
Bước 4: Lưu vào QLTV.SUPPORT.json
Bước 5: Response với ticket ID

GET: Bước 1: Admin/Thủ thư xem danh sách tickets
Bước 2: Đọc và trả về tất cả từ SUPPORT.json"
"http://localhost:8000/api/reply-support","🆘 Hỗ trợ & Thông báo - Phản hồi hỗ trợ
Chức năng: Admin/thủ thư phản hồi ticket
Quyền: Chỉ role 1 (admin) và 2 (thủ thư)
Lưu: Ghi vào notifications.json","//Input
POST JSON: {
  ""support_id"": ""SUP123456"",
  ""reply"": ""Reply message"",
  ""username"": ""user_email""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Đã gửi phản hồi""
}","Bước 1: Admin/Thủ thư viết phản hồi cho ticket
Bước 2: Frontend gửi support_id, reply, username
Bước 3: Backend kiểm tra role (chỉ role 1,2 được phản hồi)
Bước 4: Tạo notification mới trong notifications.json
Bước 5: User sẽ nhận được notification khi login
Bước 6: Response xác nhận"
"http://localhost:8000/api/notifications","🆘 Hỗ trợ & Thông báo - Thông báo
Chức năng: Lấy thông báo phản hồi cho người dùng
Filter: Chỉ hiển thị thông báo của user đang đăng nhập
Sắp xếp: Theo thời gian mới nhất","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": [
    {
      ""username"": ""user@email.com"",
      ""support_id"": ""SUP123"",
      ""reply"": ""Admin reply"",
      ""created_at"": ""2024-01-15 10:30:00"",
      ""replied_by"": ""Admin""
    }
  ]
}","Bước 1: User login, frontend request notifications
Bước 2: Backend lấy username từ session
Bước 3: Đọc notifications.json, filter theo username
Bước 4: Sắp xếp theo created_at giảm dần
Bước 5: Trả về notifications của user"
"http://localhost:8000/api/stats","📈 Thống kê - Thống kê tổng quan
Chức năng: Hiển thị số liệu thống kê
Dữ liệu:
- Tổng số sách đang mượn
- Tổng số đã trả
- Số lượng mượn/trả trong ngày
- Tổng số sách trong thư viện
- Số sách có sẵn","//Input
GET","//Output
JSON: {
  ""success"": true,
  ""data"": {
    ""totalBorrowed"": 25,
    ""totalReturned"": 10,
    ""borrowedToday"": 3,
    ""returnedToday"": 2,
    ""totalBooks"": 150,
    ""totalAvailable"": 125
  }
}","Bước 1: Admin/Thủ thư mở dashboard
Bước 2: Frontend request thống kê
Bước 3: Backend đọc MUON_TRA.json, đếm theo trang_thai
Bước 4: Đọc SACH.json, đếm tổng số sách và sách có sẵn
Bước 5: Tính số mượn/trả trong ngày bằng cách so sánh ngày
Bước 6: Trả về object chứa tất cả số liệu"
"http://localhost:8001/api/taikhoan","📁 Backend APIs - Quản lý tài khoản
Chức năng: Đọc/ghi danh sách tài khoản vào file Taikhoan.html
GET: Lấy danh sách tài khoản
POST: Thêm tài khoản mới (tránh trùng username)","//Input
GET: (list accounts)
POST: {
  ""username"": ""user123"",
  ""password"": ""pass123""
}","//Output
GET: {
  ""success"": true,
  ""accounts"": [
    {""username"": ""user1"", ""password"": ""pass1""}
  ]
}

POST: {
  ""success"": true/false,
  ""message"": ""Account added""
}","GET: Bước 1: Request danh sách accounts
Bước 2: Parse Taikhoan.html, extract JSON từ <script id='savedAccounts'>
Bước 3: Trả về array accounts

POST: Bước 1: Submit new account
Bước 2: Parse HTML, extract existing accounts
Bước 3: Check duplicate username
Bước 4: Append new account, update <script> tag trong HTML
Bước 5: Write back to Taikhoan.html"
"http://localhost:8000/api/update-user-address","👥 Quản lý Người dùng - Cập nhật địa chỉ
Chức năng: Cập nhật địa chỉ người dùng
Xử lý: UPDATE NGUOIDUNG SET dia_chi WHERE ID","//Input
POST JSON: {
  ""id"": ""U001"",
  ""address"": ""New Address""
}","//Output
JSON: {
  ""success"": true/false,
  ""message"": ""Cập nhật địa chỉ thành công""
}","Bước 1: User update địa chỉ
Bước 2: Frontend gửi user id và address mới
Bước 3: Backend UPDATE NGUOIDUNG SET dia_chi WHERE ID
Bước 4: Response xác nhận"
"http://localhost:8000/api/db-config","🔐 Session & Auth - Cấu hình kết nối database
Chức năng: Quản lý cấu hình database (MySQL/MongoDB)
GET: Xem cấu hình hiện tại
POST: Thay đổi cấu hình","//Input
GET/POST","//Output
JSON: {
  ""success"": true,
  ""config"": {
    ""host"": ""localhost"",
    ""database"": ""qltv_demo"",
    ""type"": ""mysql/mongodb""
  }
}","Bước 1: Admin muốn xem/thay đổi cấu hình DB
Bước 2: DbConfigController đọc hoặc update config
Bước 3: Trả về thông tin cấu hình hiện tại"
"http://localhost:8000/api/auth","🔐 Session & Auth - Xác thực từ frontend
Chức năng: Xử lý xác thực từ frontend
Xử lý: Gọi backend auth service","//Input
POST: auth data","//Output
JSON: auth response","Xử lý xác thực từ frontend, forward request đến backend"
"http://localhost:8000/api/check-session","🔐 Session & Auth - Kiểm tra session từ frontend
Chức năng: Kiểm tra session từ frontend
Xử lý: Gọi backend session service","//Input
GET","//Output
JSON: session status","Kiểm tra session từ frontend, forward request đến backend"
"http://localhost:8000/api/logout","🔐 Session & Auth - Đăng xuất từ frontend
Chức năng: Đăng xuất từ frontend
Xử lý: Hủy session và redirect","//Input
POST/GET","//Output
JSON: logout success","Đăng xuất từ frontend, forward request đến backend để hủy session"
